CPU Stress,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
63,1000,0.1,77.9,3.1,4.746666667,44744704,2.982857143,161310232.4,43.9047619,39.57142857,48.23809524,828940093,8126898176
66,1000,0.1,77.9,3.3,5.081761905,44744704,3.012380952,162220909.7,45.85714286,45.61904762,45.80952381,828891331,8126898176
69,1000,0.1,77.9,3.2,4.891904762,44744704,3.119047619,163672064,47,46.47619048,47.57142857,828848030.5,8126898176
72,1000,0.1,77.9,3.1,4.608142857,44744704,2.990952381,165320801.5,47.96190476,46.38095238,49.56190476,828883139,8126898176
0,500,0.2,39.5,2.7,2.633333333,44744704,1.85,166154012.4,9.911111111,10.58888889,9.333333333,828942108.4,8126898176
3,500,0.2,39.5,2.7,2.489,44744704,1.7,166216294.4,11.26,12.25,10.42,829000089.6,8126898176
6,500,0.2,39.5,2.8,2.569,44744704,1.7855,166252953.6,12.885,13.3,12.15,828788940.8,8126898176
9,500,0.2,39.5,3,2.7735,44744704,1.809,166214656,15,15.59,14.34,828674662.4,8126898176
12,500,0.2,39.5,2.9,2.814,44744704,1.832,165888409.6,16.05,16.15,16.11,828785459.2,8126898176
15,500,0.2,39.5,2.7,2.545,44744704,1.71,164568883.2,16.85,18.5,15.32,828843212.8,8126898176
18,500,0.2,39.5,2.8,2.6695,44744704,1.781,164343398.4,18.85,20.16,17.69,829371187.2,8126898176
21,500,0.2,39.5,2.9,2.932,44744704,1.769,164162150.4,20.45,19.68,21.05,829021593.6,8126898176
24,500,0.2,39.5,3,2.822857143,44744704,1.814761905,164269494.9,21.28571429,17.42857143,25.34285714,829235200,8126898176
27,500,0.2,39.5,3.3,2.947785714,44744704,1.834285714,164341467.4,22.96666667,23,23.08571429,829120902.1,8126898176
30,500,0.2,39.5,3.2,3.053,44744704,1.9535,164751564.8,25.25,24.7,25.8,829234995.2,8126898176
33,500,0.2,39.5,3,2.986,44744704,1.845,164843724.8,26.35,24.85,28,829895680,8126898176
