Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
5.6,44744704,44744704,3.4,81231872,81231872,2.9,48508928,18,19,17,829243392,829243392,829243392,8126898176,8126898176,8126898176
5.6,44744704,44744704,3.2,81276928,81276928,6,48508928,21,19,23,828985344,828985344,828985344,8126898176,8126898176,8126898176
6.5,44744704,44744704,3.9,81477632,81477632,3.1,48508928,18,18,19,828727296,828727296,828727296,8126898176,8126898176,8126898176
6.8,44744704,44744704,3.6,81580032,81580032,0,48508928,20,20,21,828985344,828985344,828985344,8126898176,8126898176,8126898176
6,44744704,44744704,2.8,81637376,81637376,0,48508928,18,18,18,828985344,828985344,828985344,8126898176,8126898176,8126898176
4.8,44744704,44744704,3.6,81879040,81879040,3.1,48508928,20,20,19,828985344,828985344,828985344,8126898176,8126898176,8126898176
5,44744704,44744704,3.8,81829888,81829888,6.1,48508928,18,19,16,829759488,829759488,829759488,8126898176,8126898176,8126898176
7.1,44744704,44744704,3.6,81850368,81850368,3,48508928,20,22,18,828727296,828727296,828727296,8126898176,8126898176,8126898176
8.2,44744704,44744704,4.4,81899520,81899520,3.2,48508928,25,26,24,828985344,828985344,828985344,8126898176,8126898176,8126898176
7.3,44744704,44744704,4.3,82214912,82214912,3.2,48508928,20,24,15,828952576,828952576,828952576,8126898176,8126898176,8126898176
6.1,44744704,44744704,4,82546688,82546688,3.2,48508928,21,25,17,829210624,829210624,829210624,8126898176,8126898176,8126898176
4.1,44744704,44744704,2.6,82485248,82485248,3.2,48508928,8.7,9.6,7.8,828952576,828952576,828952576,8126898176,8126898176,8126898176
1.1,44744704,44744704,0.79,82485248,82485248,0.046,42807296,4,3.4,4.6,828952576,828952576,828952576,8126898176,8126898176,8126898176
0.0074,44744704,44744704,0.2,82620416,82620416,0.046,42795008,2.9,3,2.8,829210624,829210624,829210624,8126898176,8126898176,8126898176
0.0064,44744704,44744704,0.19,82620416,82620416,0,42795008,4.1,4,4.2,828952576,828952576,828952576,8126898176,8126898176,8126898176
0.0062,44744704,44744704,0.21,82624512,82624512,0,42795008,3.1,3,3.2,829210624,829210624,829210624,8126898176,8126898176,8126898176
0.0073,44744704,44744704,0.35,82964480,82964480,0,42795008,4.4,4.2,4.6,829210624,829210624,829210624,8126898176,8126898176,8126898176
