Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
2.5,44711936,44711936,1.5,79486976,79486976,6.2,51392512,9.5,11,8.4,829014016,829014016,829014016,8126898176,8126898176,8126898176
3,44711936,44711936,1.7,79527936,79527936,8.1,51392512,13,12,13,829014016,829014016,829014016,8126898176,8126898176,8126898176
3,44711936,44711936,2,79704064,79704064,5,51392512,13,11,14,829014016,829014016,829014016,8126898176,8126898176,8126898176
2.9,44711936,44711936,2,79736832,79736832,3,51392512,10,10,10,829014016,829014016,829014016,8126898176,8126898176,8126898176
2.2,44711936,44711936,1.5,79638528,79638528,2.8,51392512,12,13,10,829014016,829014016,829014016,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.5,79798272,79798272,2.8,51396608,11,12,11,828755968,828755968,828755968,8126898176,8126898176,8126898176
3.5,44711936,44711936,1.7,79712256,79712256,3,51396608,14,18,9.8,829788160,829788160,829788160,8126898176,8126898176,8126898176
2.9,44711936,44711936,2,79761408,79761408,3,51396608,10,10,11,829009920,829009920,829009920,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.9,79761408,79761408,0.61,51396608,13,17,10,829009920,829009920,829009920,8126898176,8126898176,8126898176
3.4,44711936,44711936,1.9,79708160,79708160,3,51396608,11,11,11,828993536,828993536,828993536,8126898176,8126898176,8126898176
3.2,44711936,44711936,1.9,79962112,79962112,2.8,51396608,13,15,11,828735488,828735488,828735488,8126898176,8126898176,8126898176
2.7,44711936,44711936,1.8,79962112,79962112,2.9,51396608,10,10,9.8,828993536,828993536,828993536,8126898176,8126898176,8126898176
2.4,44711936,44711936,1.7,79949824,79949824,5.5,51396608,13,12,14,828989440,828989440,828989440,8126898176,8126898176,8126898176
2.5,44711936,44711936,1.8,80117760,80117760,3,51396608,10,10,10,828989440,828989440,828989440,8126898176,8126898176,8126898176
3,44711936,44711936,1.7,80277504,80277504,0.35,51396608,13,9.6,15,828989440,828989440,828989440,8126898176,8126898176,8126898176
