NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
2000,0.05,154.3,1.9,13.5,5.09047619,12.96190476,12.71428571,13.35238095,5.695238095,5.761904762,5.628571429,159665785.9,47603516.95,718013586.3,8346394624,718013586.3,8126898176
1333,0.075,108.2,1.8,9.37,3.8325,9.98,9.58,10.24,4.975,4.94,5.01,159908659.2,45887897.6,716877414.4,8346394624,716877414.4,8126898176
2000,0.05,154.3,1.8,13.22857143,5.142857143,12.8,12.35238095,13.43809524,5.652380952,5.657142857,5.647619048,160124537.9,48145359.24,719230488.4,8346394624,719230488.4,8126898176
1333,0.075,108.2,1.8,9.66,3.8615,10.15,9.78,10.22,4.95,5.03,4.87,160275660.8,45998080,717214720,8346394624,717214720,8126898176
2000,0.05,154.3,1.9,13.94285714,5.14047619,13.24285714,13.21904762,13.40952381,5.80952381,5.761904762,5.857142857,160019797.3,48236056.38,718865164.2,8346394624,718865164.2,8126898176
1333,0.075,108.2,1.8,9.375,3.88,9.945,9.68,10.27,4.91,4.96,4.86,159596953.6,46794342.4,716951142.4,8346394624,716951142.4,8126898176
2000,0.05,154.3,1.9,13.82380952,5.05047619,13.16190476,12.64761905,13.67619048,5.804761905,5.742857143,5.866666667,159709476.6,48016822.86,718880963,8346394624,718880963,8126898176
1333,0.075,108.2,1.8,9.775,3.912,10.15,10.21,10.21,5.06,4.89,5.23,158217216,47024742.4,717707264,8346394624,717707264,8126898176
2000,0.05,154.3,1.9,13.69047619,5.214285714,13.17142857,12.83809524,13.5047619,5.823809524,5.676190476,5.971428571,158388224,48995376.76,719475078.1,8346394624,719475078.1,8126898176
1333,0.075,108.2,1.9,10.26842105,4.084210526,10.50526316,10.25263158,10.95789474,5,5.042105263,4.957894737,158530074.9,47153798.74,718212042.1,8346394624,718212042.1,8126898176
2000,0.05,154.3,1.9,13.22857143,5.164285714,12.70952381,12.4952381,13.06666667,5.828571429,5.866666667,5.79047619,158474240,47635309.71,718580004.6,8346394624,718580004.6,8126898176
1333,0.075,108.2,1.8,9.61,3.837,10.025,9.74,10.34,4.87,4.86,4.88,158218649.6,46743756.8,718289510.4,8346394624,718289510.4,8126898176
2000,0.05,154.3,1.9,13.39047619,5.180952381,13,12.7047619,13.43809524,5.819047619,5.771428571,5.866666667,158015097.9,48629077.33,719362730.7,8346394624,719362730.7,8126898176
1333,0.075,108.2,1.8,9.915789474,4.094736842,10.32105263,10.13684211,10.45263158,5.136842105,5.147368421,5.126315789,158125433.3,45993768.42,716575151.2,8346394624,716575151.2,8126898176
