Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
9.4,42389504,4.4,86114304,9.9,11,9.2,712839168,8346394624,5,5,5,744620032,8126898176
8.8,42532864,3.6,85872640,11,11,10,712404992,8346394624,4.9,5.2,4.6,744820736,8126898176
9.2,42676224,3.9,86044672,9.8,9.8,9.8,712474624,8346394624,5.4,5.2,5.6,745263104,8126898176
9.1,43102208,3.6,86196224,10,11,9.8,712826880,8346394624,4.7,4.6,4.8,744951808,8126898176
12,43970560,3.6,86302720,10,9.8,10,713396224,8346394624,5.6,5.6,5.6,745095168,8126898176
13,44929024,4.7,86364160,12,14,11,714174464,8346394624,5.5,5.2,5.8,745033728,8126898176
11,45494272,4.5,86380544,11,12,11,714719232,8346394624,5.6,5.6,5.6,745177088,8126898176
9.7,45924352,4.7,86654976,12,13,11,715259904,8346394624,4.8,4.6,5,745361408,8126898176
6,45969408,4.3,86761472,8.4,8.4,8.4,715943936,8346394624,4.7,4.8,4.6,745316352,8126898176
1.8,45969408,2.3,86798336,4.3,4.6,4,715931648,8346394624,1.9,1.8,2,745304064,8126898176
0.013,45969408,0.9,86605824,2.6,3,2.2,715931648,8346394624,2.2,2,2.4,745304064,8126898176
0.012,45969408,0.25,86605824,3,3.4,2.6,715939840,8346394624,1.9,1.6,2.2,745304064,8126898176
0.011,45969408,0.23,86605824,2.4,2.4,2.4,715939840,8346394624,2.4,2,2.8,745304064,8126898176
0.012,45969408,0.21,86716416,3,3.2,2.8,715681792,8346394624,1.7,1.4,2,745304064,8126898176
0.35,46305280,0.25,86605824,2.2,2.4,2,715952128,8346394624,2.7,2.4,3,745820160,8126898176
6.6,46440448,0.52,86716416,4.7,5.2,4.2,716427264,8346394624,3.2,2.8,3.6,745541632,8126898176
15,45056000,1.8,86863872,12,12,13,717471744,8346394624,6.1,6.2,6,745672704,8126898176
17,45137920,4.8,86974464,16,16,16,715943936,8346394624,6,5.6,6.4,745594880,8126898176
18,45637632,5.7,86990848,16,17,15,715632640,8346394624,6.1,6.2,6,745709568,8126898176
16,45682688,5.6,87257088,15,16,14,716406784,8346394624,5.4,5.2,5.6,746139648,8126898176
15,46047232,5.5,87281664,13,15,12,716427264,8346394624,6.1,6,6.2,745766912,8126898176
13,45944832,5.1,87609344,14,16,12,715698176,8346394624,5.5,5.8,5.2,746213376,8126898176
15,45973504,4.6,87707648,14,14,13,715956224,8346394624,6.3,6.6,6,746090496,8126898176
15,46059520,5.6,87904256,14,15,14,715935744,8346394624,5.8,5.2,6.4,746291200,8126898176
12,46080000,6.5,87830528,13,14,13,715980800,8346394624,6.1,6.2,6,746708992,8126898176
18,46452736,4.3,88064000,15,16,14,715862016,8346394624,5.7,6,5.4,746598400,8126898176
19,46755840,5.5,88084480,16,16,16,716267520,8346394624,7,6.8,7.2,747012096,8126898176
15,47116288,6.9,88449024,16,17,14,716976128,8346394624,6.6,6,7.2,747143168,8126898176
16,47226880,6.5,88788992,13,15,11,717234176,8346394624,6.2,6.2,6.2,747266048,8126898176
15,47374336,5.3,88678400,13,14,11,717000704,8346394624,5,4.6,5.4,747442176,8126898176
12,47337472,4.3,88768512,12,13,12,718053376,8346394624,6.4,6,6.8,748412928,8126898176
12,47820800,5.2,88674304,13,13,13,717549568,8346394624,5.6,5.8,5.4,747786240,8126898176
15,48316416,5.2,88883200,13,15,11,717799424,8346394624,6.2,6.6,5.8,747438080,8126898176
16,48898048,5.4,89051136,15,15,15,718561280,8346394624,5.8,5.8,5.8,747589632,8126898176
12,48939008,5.5,89329664,13,12,14,718807040,8346394624,5.6,6.2,5,748036096,8126898176
5.9,48939008,4.2,89620480,8.7,9,8.4,718942208,8346394624,3.8,3.6,4,748507136,8126898176
1.4,48939008,2.1,89600000,3.2,2.8,3.6,718929920,8346394624,2.5,2.4,2.6,748249088,8126898176
0.014,48939008,0.49,89571328,2.9,2.8,3,719704064,8346394624,1.8,1.6,2,749023232,8126898176
0.014,48939008,0.25,89567232,2.3,2.4,2.2,718929920,8346394624,2.4,2.2,2.6,748249088,8126898176
0.013,48939008,0.29,89567232,3,2.8,3.2,719704064,8346394624,1.9,1.8,2,748507136,8126898176
0.013,48939008,0.45,89550848,2.4,2.6,2.2,718929920,8346394624,2.7,2.6,2.8,748445696,8126898176
1,48709632,0.41,89636864,3.2,2.8,3.6,718913536,8346394624,1.6,1.8,1.4,748445696,8126898176
4.6,48709632,0.72,89571328,5.1,6,4.2,718602240,8346394624,4.3,4,4.6,748670976,8126898176
9.2,48717824,2.3,89800704,9.4,10,8.6,718725120,8346394624,4.3,4.4,4.2,748875776,8126898176
11,48717824,3.5,89894912,10,9.6,11,719069184,8346394624,5.2,4.8,5.6,748548096,8126898176
10,48717824,3.9,90189824,11,11,12,718880768,8346394624,4.6,4.2,5,749522944,8126898176
11,41644032,3.8,90099712,11,11,11,718692352,8346394624,5.3,6,4.6,749195264,8126898176
11,41791488,3.4,90259456,12,12,12,712081408,8346394624,4.7,5,4.4,749133824,8126898176
8.6,41668608,4,90357760,10,11,9.6,712179712,8346394624,5.4,5.2,5.6,750092288,8126898176
9.6,41803776,4.2,90521600,10,10,10,712052736,8346394624,4.3,4.4,4.2,748752896,8126898176
11,41934848,3.8,90599424,9.2,10,8,712269824,8346394624,4.9,4.8,5,748937216,8126898176
10,42201088,4,90570752,11,11,9.8,712347648,8346394624,4.9,4.8,5,749395968,8126898176
9.3,42266624,4.1,90603520,10,9.8,11,712671232,8346394624,5.8,6.2,5.4,749203456,8126898176
9.2,42536960,4.1,90902528,11,12,10,712744960,8346394624,4.6,4.4,4.8,749395968,8126898176
9.5,42737664,3.5,90660864,9.8,11,8.6,712818688,8346394624,5.3,5.4,5.2,749604864,8126898176
10,43048960,3.7,91037696,10,11,10,713142272,8346394624,4.5,4.8,4.2,749527040,8126898176
11,43503616,4.2,91140096,10,11,9.4,713474048,8346394624,5.2,5.2,5.2,749731840,8126898176
13,44265472,3.6,91021312,12,13,11,714006528,8346394624,5.1,5.2,5,749895680,8126898176
13,44908544,4,90882048,12,13,10,714276864,8346394624,5.4,5.6,5.2,749850624,8126898176
11,45563904,5,91185152,12,13,12,715067392,8346394624,5.1,5.4,4.8,749817856,8126898176
8.2,45981696,4.9,91312128,11,9.8,11,715669504,8346394624,5.2,5.2,5.2,750485504,8126898176
3.5,45879296,3.3,91336704,6,6.4,5.6,716124160,8346394624,2.6,2.6,2.6,749957120,8126898176
0.65,45879296,1.2,91189248,2.5,2.4,2.6,716894208,8346394624,2.6,2.4,2.8,749957120,8126898176
0.011,45879296,0.3,91271168,3.1,3,3.2,716120064,8346394624,2.1,2.2,2,749957120,8126898176
0.011,45879296,0.48,91439104,2.2,1.8,2.6,717152256,8346394624,2.9,3,2.8,750055424,8126898176
0.012,45879296,0.48,91344896,3.2,2.8,3.6,716902400,8346394624,1.8,2,1.6,750055424,8126898176
0.012,45879296,0.25,91262976,2.5,2.4,2.6,715870208,8346394624,2.4,2.4,2.4,750055424,8126898176
3.7,45359104,0.24,91394048,3.3,3.2,3.4,716070912,8346394624,2.2,2.4,2,750026752,8126898176
15,43892736,0.86,91291648,10,10,10,715681792,8346394624,5,4.8,5.2,750243840,8126898176
24,45117440,3.4,91430912,19,16,21,714371072,8346394624,5.5,5,6,750407680,8126898176
24,43442176,5.6,91590656,19,19,19,714092544,8346394624,6.2,5.8,6.6,750297088,8126898176
20,43544576,5.6,91549696,18,19,17,714895360,8346394624,5.9,5.8,6,750731264,8126898176
16,43929600,5.2,91721728,15,15,14,714162176,8346394624,6.1,6,6.2,750653440,8126898176
16,44707840,5.2,92078080,14,15,14,714457088,8346394624,5.3,5,5.6,750813184,8126898176
16,44576768,4.7,92041216,14,13,16,714874880,8346394624,6.4,6.2,6.6,750661632,8126898176
16,45117440,4.9,92246016,14,14,14,715051008,8346394624,6.1,5.6,6.6,751656960,8126898176
15,45805568,5.6,92352512,14,15,13,716025856,8346394624,6.5,6.4,6.6,750833664,8126898176
15,46477312,6.1,92557312,14,14,15,716533760,8346394624,5.7,6,5.4,751013888,8126898176
18,47063040,6.2,92532736,15,16,15,716673024,8346394624,7.1,6.8,7.4,751153152,8126898176
18,47095808,6.6,92884992,17,17,18,717889536,8346394624,5.7,5.6,5.8,751562752,8126898176
15,46977024,6.3,92962816,14,15,14,717074432,8346394624,6.3,6.4,6.2,751452160,8126898176
13,47022080,5.1,93081600,13,13,13,717033472,8346394624,4.8,4.6,5,751906816,8126898176
12,47091712,4.9,93241344,12,12,13,717082624,8346394624,5.8,5.8,5.8,751554560,8126898176
13,47353856,5,93274112,13,15,12,717672448,8346394624,5.4,5.8,5,751726592,8126898176
14,47620096,5.3,93454336,13,14,11,717942784,8346394624,6.2,6.2,6.2,752136192,8126898176
