NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
500,0.2,39.5,2,4.365,1.8825,6.04,6,6.08,3.57,3.51,3.63,129810227.2,45184614.4,714537574.4,8346394624,714537574.4,8126898176
1000,0.1,77.9,2,8.371428571,3.046190476,8.819047619,9.095238095,8.638095238,4.380952381,4.104761905,4.657142857,130231149.7,44085248,713528466.3,8346394624,713528466.3,8126898176
500,0.2,39.5,2,4.510526316,1.953684211,6.178947368,6.557894737,5.8,3.663157895,3.610526316,3.715789474,130357355.8,46552764.63,715678989.5,8346394624,715678989.5,8126898176
1000,0.1,77.9,1.9,7.461904762,3.054285714,8.361904762,8.552380952,8.123809524,4.342857143,4.380952381,4.304761905,130402206.5,43866989.71,713508181.3,8346394624,713508181.3,8126898176
500,0.2,39.5,2,3.965,1.94,5.865,5.75,5.98,3.545,3.58,3.51,130452889.6,45794508.8,714957619.2,8346394624,714957619.2,8126898176
1000,0.1,77.9,1.9,7.415,3.0575,8.385,8.55,8.22,4.485,4.46,4.51,130549760,45063372.8,714583859.2,8346394624,714583859.2,8126898176
500,0.2,39.5,2,4.084210526,1.889473684,5.905263158,5.894736842,5.915789474,3.563157895,3.547368421,3.578947368,130644075.8,45872181.89,715138964.2,8346394624,715138964.2,8126898176
1000,0.1,77.9,2,8.41,3.165,9.055,9.25,8.72,4.53,4.71,4.35,130655846.4,44156518.4,713330892.8,8346394624,713330892.8,8126898176
500,0.2,39.5,2,4.547368421,1.942105263,6.189473684,6.094736842,6.284210526,3.626315789,3.715789474,3.536842105,130534777.3,45319006.32,714625024,8346394624,714625024,8126898176
1000,0.1,77.9,2,7.923809524,3.00047619,8.685714286,9.028571429,8.380952381,4.352380952,4.276190476,4.428571429,131166988.2,43460120.38,712908995,8346394624,712908995,8126898176
500,0.2,39.5,2,4.055,1.8485,5.935,6.175,5.695,3.54,3.4,3.68,132345241.6,45296435.2,714282598.4,8346394624,714282598.4,8126898176
1000,0.1,77.9,1.9,7.29047619,2.989047619,8.347619048,8.742857143,7.923809524,4.366666667,4.276190476,4.457142857,133237418.7,44194084.57,713535488,8346394624,713535488,8126898176
500,0.2,39.5,2,3.99,1.919,5.835,5.77,5.9,3.53,3.61,3.45,133791129.6,45448806.4,714588364.8,8346394624,714588364.8,8126898176
1000,0.1,77.9,1.9,7.415,3.0645,8.45,8.5,8.41,4.57,4.53,4.61,134779084.8,43653734.4,712871936,8346394624,712871936,8126898176
500,0.2,39.5,2,4.531578947,1.963157895,6.110526316,6.305263158,5.915789474,3.610526316,3.557894737,3.663157895,135811072,45333881.26,714371072,8346394624,714371072,8126898176
1000,0.1,77.9,1.9,8.155,3.073,8.83,8.88,8.73,4.39,4.26,4.52,136812134.4,44793241.6,713991168,8346394624,713991168,8126898176
500,0.2,39.5,2.1,4.705,1.8565,6.235,6.16,6.31,3.56,3.66,3.46,137880371.2,46223155.2,715542937.6,8346394624,715542937.6,8126898176
1000,0.1,77.9,2,8.52,3.145,9.005,9.33,8.72,4.49,4.595,4.385,138801971.2,42598195.2,712188928,8346394624,712188928,8126898176
500,0.2,39.5,2,4.405,1.915,6.11,6.05,6.17,3.64,3.685,3.595,139605196.8,44823961.6,714157875.2,8346394624,714157875.2,8126898176
1000,0.1,77.9,1.9,7.628571429,3.034285714,8.542857143,8.542857143,8.542857143,4.347619048,4.4,4.295238095,140708132.6,42804370.29,712472283.4,8346394624,712472283.4,8126898176
500,0.2,39.5,1.9,3.96,1.8695,5.81,5.86,5.76,3.75,3.61,3.89,141900390.4,44935577.6,713543884.8,8346394624,713543884.8,8126898176
