Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
5.1,43425792,1.9,84086784,14,15,13,816091136,8346394624,12,12,12,841396224,8126898176
5.6,43388928,2,84074496,17,14,19,816533504,8346394624,15,15,15,841580544,8126898176
5.1,43454464,2.2,84234240,11,12,10,816988160,8346394624,17,17,17,840867840,8126898176
4.9,43577344,2.3,84025344,14,15,13,817324032,8346394624,12,11,12,841256960,8126898176
5,43585536,2.1,84176896,13,13,13,818860032,8346394624,14,14,14,842489856,8126898176
4.7,43651072,2.1,84189184,13,15,10,818860032,8346394624,17,17,17,842006528,8126898176
4.1,43696128,1.9,84209664,15,18,12,818880512,8346394624,13,13,12,841654272,8126898176
4,43728896,1.6,84238336,15,14,15,819093504,8346394624,15,16,15,841961472,8126898176
4.9,43925504,2,84213760,12,11,12,819290112,8346394624,15,16,14,842362880,8126898176
4.7,44195840,2.2,84434944,14,13,16,819486720,8346394624,14,14,14,843276288,8126898176
3.7,44048384,2,84459520,12,11,13,819613696,8346394624,13,13,13,843137024,8126898176
3.6,44118016,1.9,84553728,11,14,8.8,819560448,8346394624,15,15,15,844574720,8126898176
4.1,44126208,1.7,84701184,13,13,13,820277248,8346394624,13,12,13,843145216,8126898176
3.9,44212224,1.8,84606976,15,16,14,822865920,8346394624,14,14,14,842788864,8126898176
4.3,44212224,1.9,84631552,11,12,9.4,822480896,8346394624,13,13,13,842911744,8126898176
5.1,44240896,1.8,84668416,16,17,16,821104640,8346394624,14,14,14,843038720,8126898176
5,44257280,1.9,84824064,13,12,14,821637120,8346394624,14,14,14,843689984,8126898176
6,44273664,2.2,84717568,12,12,12,821100544,8346394624,14,14,15,843288576,8126898176
5.6,44445696,2.1,84611072,14,13,16,821407744,8346394624,14,13,14,843390976,8126898176
4.8,44638208,2.1,85078016,16,14,17,822591488,8346394624,14,14,14,843972608,8126898176
4.2,44544000,1.9,84836352,11,12,10,821944320,8346394624,14,14,14,844054528,8126898176
2.1,44544000,1.7,84856832,13,14,12,822521856,8346394624,14,14,14,844705792,8126898176
0.51,44544000,1.1,84860928,5.5,5.4,5.6,822775808,8346394624,2.1,2.4,1.8,844689408,8126898176
0.013,44544000,0.39,84971520,4.7,5.4,4,822775808,8346394624,3,2.8,3.2,843624448,8126898176
0.01,44544000,0.26,84860928,4,3.2,4.8,822525952,8346394624,2.3,2.6,2,843366400,8126898176
0.0097,44544000,0.22,84971520,6.3,6.2,6.4,823615488,8346394624,2.9,3.4,2.4,843108352,8126898176
0.01,44544000,0.22,84860928,3.6,4.2,3,823365632,8346394624,2.3,2,2.6,843108352,8126898176
0.45,44544000,0.25,84860928,4.1,3.2,5,823508992,8346394624,2.7,3.2,2.2,842850304,8126898176
2.5,45027328,0.41,84992000,5,4.4,5.6,823246848,8346394624,2.9,3.2,2.6,842579968,8126898176
4.2,45555712,1.2,84889600,9.8,8.6,11,822759424,8346394624,15,15,15,843292672,8126898176
4.7,45486080,1.8,84910080,15,17,13,824438784,8346394624,14,14,14,846045184,8126898176
4.7,45551616,1.9,85204992,16,16,17,823808000,8346394624,18,18,18,846651392,8126898176
4.9,45723648,1.9,85225472,13,14,13,820719616,8346394624,18,18,18,847761408,8126898176
4.6,45940736,1.8,85057536,17,16,19,820506624,8346394624,19,19,19,847560704,8126898176
3.7,45916160,2.1,85086208,15,16,13,821510144,8346394624,16,15,16,846372864,8126898176
4.6,42704896,2,85237760,12,13,11,820637696,8346394624,19,18,19,846450688,8126898176
5.4,42708992,1.8,84996096,17,17,17,818552832,8346394624,17,18,17,846532608,8126898176
5.8,42708992,2,85139456,17,18,17,824479744,8346394624,16,17,16,846639104,8126898176
6.2,42708992,2.1,85164032,13,13,14,820826112,8346394624,20,20,19,846983168,8126898176
5.6,42717184,2.1,85397504,18,19,17,821620736,8346394624,18,17,18,847331328,8126898176
5.1,42745856,2.1,85295104,16,17,15,820371456,8346394624,16,16,15,847388672,8126898176
5.1,42790912,2.1,85319680,14,14,13,820629504,8346394624,21,22,21,848850944,8126898176
4.6,42815488,2,85344256,16,13,19,820285440,8346394624,18,18,18,847855616,8126898176
4.1,42840064,2,85241856,15,17,14,820785152,8346394624,15,15,15,850198528,8126898176
4.5,43167744,2.1,85491712,14,11,17,821514240,8346394624,20,21,20,850501632,8126898176
4.5,43098112,2.2,85364736,16,14,19,821932032,8346394624,18,18,18,849653760,8126898176
3.9,43155456,2,85512192,17,18,15,821145600,8346394624,14,15,13,848822272,8126898176
4.2,43257856,1.8,85413888,12,14,11,821014528,8346394624,21,20,21,848805888,8126898176
4.4,43257856,1.8,85434368,15,16,14,822038528,8346394624,17,17,17,848666624,8126898176
5.5,41660416,1.6,85450752,16,14,18,818585600,8346394624,14,13,15,849055744,8126898176
6.1,41672704,2,85483520,15,12,18,819339264,8346394624,21,22,21,849895424,8126898176
6,41758720,2.2,85557248,15,13,17,819720192,8346394624,17,17,17,852373504,8126898176
