NumOfRequests, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage
2000,1.9,9.894032258,3.691612903,14.56774194,14.01935484,14.98709677,8.709677419,8.587096774,8.806451613
2000,2.1,10.816,3.83625,17.84375,16.725,18.90625,14.859375,14.9,14.8125
2000,2.1,10.83225806,3.9,19.28709677,19.26451613,19.17419355,17.61935484,17.67741935,17.72258065
2000,2.2,11.15644375,3.834375,21.90625,21.75625,21.84375,19.925,20.00625,19.8125
2000,2.2,11.20471875,3.921875,23.546875,23.19375,24.05625,23.86875,23.95,23.7875
3000,1.9,13.20677576,4.876060606,17.06666667,16.78787879,17.28484848,9.239393939,9.078787879,9.345454545
3000,2,14.13225806,5.248387097,19.17419355,19.09032258,19.4516129,12.94516129,12.99354839,12.99354839
3000,2,14.066,5.17875,22.96875,22.44375,23.80625,17.8375,18.0125,17.725
3000,2.3,15.728125,5.2653125,25.38125,25.18125,25.70625,21.7875,21.65625,21.73125
3000,2.3,16.16451613,5.406451613,27.77096774,27.61290323,27.79354839,24.3483871,24.16774194,24.33548387
2000,2,10.18030303,3.466363636,14.29090909,14.16363636,14.53939394,8.163636364,8.060606061,8.236363636
2000,2.1,11.27096774,3.865483871,18.16774194,17.89032258,18.38064516,14.31612903,14.21290323,14.38709677
2000,2.2,11.7115625,3.7115625,20.521875,20.20625,21.025,17.034375,17.03125,16.75
2000,2.1,10.16721818,3.671515152,21.22424242,21.12727273,21.44242424,19.42727273,19.27878788,19.42424242
2000,2.1,10.35975,3.8846875,23.290625,22.69375,23.71875,22.93125,22.9375,22.8625
3000,2,13.68327647,4.787647059,17.05882353,16.82352941,17.29411765,8.764705882,8.694117647,8.847058824
3000,2,15.17419355,5.322580645,19.62580645,19.27096774,20.07741935,12.84516129,12.92903226,12.92258065
3000,2.2,15.23766563,5.4428125,23.946875,23.5,24.20625,18.921875,18.98125,18.76875
3000,2.1,14.0346,5.52,24.121875,23.85625,24.3875,21.9,21.790625,21.8
3000,2.1,14.14898788,5.253939394,25.9,25.32727273,26.5030303,24.28484848,24.32121212,24.15757576
2000,2,10.0973125,3.581875,14.45,14.225,14.4875,8.334375,8.20625,8.48125
2000,2,10.3453125,3.716875,17.159375,17.025,17.35,13.853125,13.90625,13.83125
2000,2,10.24516129,3.914516129,19.08709677,18.58709677,19.39354839,17.37096774,17.42580645,17.47741935
2000,2.1,11.05,4.05483871,22.36129032,21.07096774,23.58709677,21.08709677,20.91612903,21.32258065
2000,2.1,10.29354839,4.087096774,22.66774194,22.50967742,22.95483871,23.19032258,23.23870968,23.33548387
3000,2,14.450375,5.0565625,17.609375,17.3125,17.9375,9.321875,9.4125,9.28125
3000,2,14.66875,5.16375,19.109375,19.56875,18.54375,12.09375,12.0375,12.24375
3000,2.1,14.47846875,5.241875,22.834375,23.3875,22.3125,17.975,18.0375,17.90625
3000,2.1,13.91915625,5.295625,24.625,24.8,24.48125,20.7625,20.60625,20.85625
3000,2.1,14.32516563,5.36375,26.453125,27.03125,26,24.328125,24.33125,24.325
2000,1.9,9.210032258,3.750322581,14.09677419,14.47741935,13.77419355,8.596774194,8.55483871,8.619354839
2000,2,10.05666667,3.953333333,17.36666667,17.86,17.01333333,15.02333333,15.10666667,14.90666667
2000,2.1,9.747178125,3.903125,19.584375,20.01875,19.18125,17.496875,17.290625,17.515625
2000,2,9.481812121,3.702424242,20.7969697,21.05454545,20.47878788,20.07575758,20.12121212,19.84848485
2000,2,9.61909375,3.8234375,22.046875,22.10625,21.925,23.275,23.33125,23.1875
3000,1.9,12.48329412,4.751764706,16.43529412,16.74705882,16.15294118,9.191176471,9.088235294,9.235294118
3000,2,14.49354839,5.377419355,19.01612903,19.36774194,18.80645161,12.60967742,12.51612903,12.60645161
3000,2.1,13.53706061,5.111212121,22.12727273,22.67272727,21.49090909,17.55151515,17.67272727,17.46060606
3000,2.1,14.62258065,5.558064516,24.67741935,25.38709677,24.09677419,21.93548387,21.96129032,21.84516129
3000,2.2,14.35121875,5.414375,26.4,26.74375,26.2875,24.2125,24.225,24.2
2000,1.9,9.93475,3.6815625,14.31875,14.46875,14.025,8.50625,8.2875,8.65
2000,2.1,11.05483871,3.84516129,20.92258065,21.31290323,20.27419355,14.6483871,14.5483871,14.78064516
2000,2.1,9.916129032,3.95483871,19.59032258,20.15806452,18.99032258,17.34516129,17.38064516,17.40645161
2000,2,10.19354839,3.926129032,20.87741935,20.80645161,20.98064516,21.47741935,21.49677419,21.42580645
2000,2.2,11.20680645,4.009677419,23.01290323,23.27741935,22.87741935,23.65806452,23.52258065,23.82580645
3000,1.9,14.016,5.0290625,17.465625,17.8625,17.0375,9.428125,9.4375,9.44375
3000,2,13.8375,5.2965625,18.709375,19.13125,18.31875,13.403125,13.3,13.5375
3000,2.1,14.32580645,5.490322581,22.48709677,22.63225806,22.24516129,19.13870968,18.90967742,19.20645161
3000,2.1,14.18467188,5.284375,24.553125,24.63125,24.5375,21.4625,21.39375,21.53125
3000,2.2,13.97609091,5.29,25.92424242,26.62424242,25.43636364,24.61212121,24.67272727,24.73333333
2000,1.9,9.74,3.776666667,14.47666667,14.56,14.19333333,9.006666667,9.04,8.953333333
2000,2,9.618515152,3.670606061,16.77575758,17.16363636,16.2969697,14.21515152,14.12727273,14.33333333
2000,2,10.0516129,3.918387097,19.13548387,19.91612903,18.42580645,17.66129032,17.86451613,17.55483871
