"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","Avg Host CPU Usage","Host CPU 0 Usage","Host CPU 1 Usage","Host Mem Usage","Host Mem Total"
2022-01-12 22:21:45,8.9,46555136,5.2,83984384,39,40,37,1019842560,8346394624
2022-01-12 22:21:50,9.7,46772224,4.9,84049920,34,35,34,1017569280,8346394624
2022-01-12 22:21:55,10,46886912,5.6,84246528,43,45,41,1017913344,8346394624
2022-01-12 22:22:00,11,47046656,5.3,84250624,38,40,36,1018007552,8346394624
2022-01-12 22:22:05,11,47509504,6.2,84459520,38,41,36,1019428864,8346394624
2022-01-12 22:22:10,11,47681536,6.8,84193280,44,46,42,1020817408,8346394624
2022-01-12 22:22:15,11,48164864,5.7,84262912,40,42,38,1021972480,8346394624
2022-01-12 22:22:20,10,48271360,5.4,84393984,31,32,30,1021587456,8346394624
2022-01-12 22:22:25,5.9,48275456,3.3,84537344,29,30,29,1021538304,8346394624
2022-01-12 22:22:30,1.7,48275456,1.2,84488192,3.4,2.8,4.0,1021362176,8346394624
2022-01-12 22:22:35,0.015,48275456,0.32,84488192,5.3,3.8,6.8,1028681728,8346394624
2022-01-12 22:22:40,0.012,48275456,0.36,84598784,4.0,4.8,3.2,1021444096,8346394624
2022-01-12 22:22:45,0.012,48275456,0.37,84492288,4.3,4.2,4.4,1021009920,8346394624
2022-01-12 22:22:50,0.013,48275456,0.50,84692992,3.8,3.4,4.2,1020653568,8346394624
2022-01-12 22:22:55,0.014,48275456,0.52,84586496,4.4,4.4,4.4,1020379136,8346394624
2022-01-12 22:23:00,0.015,48275456,0.31,84692992,3.6,3.4,3.8,1019420672,8346394624
2022-01-12 22:23:05,0.33,48275456,0.48,84590592,4.4,5.2,3.6,1018404864,8346394624
2022-01-12 22:23:10,3.2,48074752,1.8,84623360,13,12,14,1017720832,8346394624
2022-01-12 22:23:15,9.7,45039616,4.4,84414464,40,41,38,1016705024,8346394624
2022-01-12 22:23:20,13,45060096,5.9,84598784,41,43,39,1014730752,8346394624
2022-01-12 22:23:25,11,45064192,6.0,84533248,52,55,49,1016094720,8346394624
2022-01-12 22:23:30,13,45072384,6.7,84615168,54,56,53,1014919168,8346394624
2022-01-12 22:23:35,16,43831296,6.6,84541440,41,43,39,1013628928,8346394624
2022-01-12 22:23:40,14,43851776,6.1,84541440,52,53,50,1014378496,8346394624
2022-01-12 22:23:45,11,43851776,6.3,84606976,50,51,49,1015271424,8346394624
2022-01-12 22:23:50,9.9,43851776,6.3,84819968,41,43,40,1015996416,8346394624
2022-01-12 22:23:55,12,43851776,6.3,84758528,49,49,49,1018060800,8346394624
2022-01-12 22:24:00,14,43921408,5.9,84688896,57,59,56,1020538880,8346394624
2022-01-12 22:24:05,11,43925504,6.1,84758528,42,43,40,1024999424,8346394624
2022-01-12 22:24:10,11,43933696,6.9,85020672,52,53,51,1025155072,8346394624
