Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
5,42614784,2.7,81362944,34,34,33,995233792,8346394624
4.2,42614784,2.8,81383424,40,41,39,995729408,8346394624
5.7,42618880,3.1,81608704,43,45,42,995528704,8346394624
5.6,42622976,2.9,81629184,36,37,35,995753984,8346394624
4.2,42631168,2.6,81670144,38,40,37,996962304,8346394624
5.7,42631168,2.8,81690624,43,46,40,998649856,8346394624
6.2,42639360,3.1,81657856,38,39,37,1000267776,8346394624
5.7,42639360,2.9,81678336,40,40,39,1001365504,8346394624
5.5,42655744,3.2,81797120,42,44,41,1001750528,8346394624
5.5,42659840,3.4,81813504,39,41,36,1002045440,8346394624
6.1,42680320,3.1,81858560,38,40,37,1002749952,8346394624
5.4,42684416,2.9,81879040,45,48,42,1003720704,8346394624
4.8,42688512,2.7,81903616,38,39,37,1004699648,8346394624
4.3,42721280,2.9,81928192,38,39,37,1005457408,8346394624
4.5,42819584,3,81973248,43,45,42,1005162496,8346394624
4.7,43024384,2.6,81989632,41,42,39,1003921408,8346394624
4.3,43048960,2.5,81948672,37,38,35,1005268992,8346394624
4.2,43134976,2.5,81965056,43,45,41,1003876352,8346394624
5.3,43380736,2.6,82067456,40,41,38,1006444544,8346394624
5.9,43335680,3,82087936,36,38,35,1007345664,8346394624
4.9,43429888,2.7,82120704,43,45,42,1006497792,8346394624
4.6,43479040,2.6,82141184,42,45,39,1008324608,8346394624
5.5,43614208,2.9,82182144,37,38,36,1007931392,8346394624
6.6,43507712,2.8,82198528,47,50,45,1009537024,8346394624
5.8,43560960,3,82231296,40,41,39,1007411200,8346394624
4.7,43720704,3.2,82124800,34,35,33,1007108096,8346394624
3.6,43720704,2.4,82051072,41,42,39,1008680960,8346394624
1.5,43720704,1.2,82182144,14,13,14,1010511872,8346394624
0.15,43720704,0.49,82161664,3.5,3.6,3.4,1010032640,8346394624
0.013,43720704,0.39,82055168,4,4.2,3.8,1011257344,8346394624
0.012,43720704,0.38,82161664,3.5,3.4,3.6,1010401280,8346394624
0.012,43720704,0.36,82059264,4.1,3.6,4.6,1009565696,8346394624
0.013,43720704,0.3,82165760,3.7,3.8,3.6,1009115136,8346394624
1,43720704,0.76,82063360,6.6,6.6,6.6,1017905152,8346394624
3.7,44818432,2.1,82145280,15,16,14,1009909760,8346394624
4.6,44879872,3,82165760,52,53,50,1013084160,8346394624
4.9,44879872,2.6,82198528,52,54,49,1012326400,8346394624
5.5,44879872,2.7,82227200,38,40,36,1012187136,8346394624
5.4,44904448,3.3,82165760,51,53,49,1013174272,8346394624
5.4,44904448,2.9,82182144,54,56,52,1013649408,8346394624
4.6,44904448,2.5,82219008,40,43,37,1013309440,8346394624
5,44908544,3.1,82247680,49,51,47,1015062528,8346394624
6.5,44924928,3.3,82169856,55,56,54,1019469824,8346394624
6.2,44941312,2.8,82194432,41,43,39,1020370944,8346394624
5.4,44941312,2.9,82247680,47,50,45,1021169664,8346394624
5.5,44941312,2.7,82268160,54,57,51,1023860736,8346394624
5.5,44945408,3.4,82321408,42,44,40,1026445312,8346394624
5.2,44945408,3.6,82341888,50,52,47,1029660672,8346394624
4.7,44945408,2.3,82276352,53,55,50,1031045120,8346394624
5,45047808,2.5,82427904,40,41,38,1032343552,8346394624
5.2,45047808,3.5,82300928,49,50,47,1033375744,8346394624
4.6,45133824,3.2,82317312,52,54,50,1037336576,8346394624
3.9,45162496,2.4,82337792,41,43,40,1038073856,8346394624
3.8,45191168,2.4,82358272,47,49,46,1039429632,8346394624
4.2,45240320,2.5,82386944,52,54,51,1043492864,8346394624
6.6,43298816,2.7,82411520,41,42,40,1043427328,8346394624
7.6,43323392,2.8,82325504,59,60,57,1012908032,8346394624
6.3,43552768,2.5,82345984,59,59,59,1012011008,8346394624
7.3,43687936,2.9,82374656,47,48,46,1012396032,8346394624
7.3,43753472,3.5,82403328,53,55,52,1013039104,8346394624
6.4,43782144,3.1,82432000,55,57,53,1013628928,8346394624
5.5,43909120,2.8,82456576,43,44,42,1014181888,8346394624
4.1,43909120,2.5,82403328,46,48,44,1014468608,8346394624
2,43909120,1.4,82534400,23,24,22,1015119872,8346394624
0.26,43909120,0.59,82358272,5.9,6.2,5.6,1014951936,8346394624
0.013,43909120,0.36,82276352,3.8,4.2,3.4,1014071296,8346394624
0.012,43909120,0.38,82362368,3.9,3.6,4.2,1013809152,8346394624
0.012,43909120,0.33,82276352,3.5,3.2,3.8,1013366784,8346394624
0.013,43909120,0.34,82276352,4.3,4.6,4,1013211136,8346394624
0.41,43909120,0.61,82407424,5,5.6,4.4,1013846016,8346394624
3.8,44175360,1.6,82309120,13,15,11,1014456320,8346394624
5.4,44191744,2.9,82337792,57,58,55,1017229312,8346394624
4.8,44191744,3.1,82362368,62,63,60,1016274944,8346394624
5.3,44199936,2.7,82386944,44,47,42,1016360960,8346394624
5.7,44208128,3.1,82558976,56,58,53,1017241600,8346394624
5.4,44232704,3,82575360,63,66,61,1022357504,8346394624
5.1,44240896,2.8,82489344,53,58,49,1021435904,8346394624
5.7,44240896,3,82526208,56,57,54,1026379776,8346394624
7,44240896,3.2,82599936,64,65,63,1026838528,8346394624
7.2,44240896,3,82624512,48,51,46,1029484544,8346394624
5.9,44249088,2.8,82657280,54,56,52,1031843840,8346394624
6.8,44249088,2.9,82681856,62,63,60,1032069120,8346394624
6.6,44249088,3.1,82972672,53,56,50,1030774784,8346394624
5.8,44249088,3.2,82731008,55,58,51,1032609792,8346394624
6,44306432,3.2,82894848,63,65,61,1031872512,8346394624
5.3,44331008,3.1,82653184,48,50,46,1031340032,8346394624
5.3,44498944,3.1,82886656,54,55,53,1028046848,8346394624
4.6,44527616,2.8,82903040,58,60,57,1026457600,8346394624
4.2,44621824,2.4,82960384,50,51,49,1028743168,8346394624
5.4,44765184,2.8,82984960,53,56,51,1031274496,8346394624
5.2,44814336,2.9,83030016,59,61,57,1032749056,8346394624
5.1,43003904,2.7,83050496,50,53,47,1030778880,8346394624
5.1,43003904,2.5,82956288,52,53,50,1029689344,8346394624
5.2,43003904,2.8,82980864,59,61,57,1029910528,8346394624
5.4,43003904,3.1,83013632,53,56,50,1030172672,8346394624
5.2,43163648,3,83042304,51,52,50,1031938048,8346394624
5.6,43331584,3,83079168,59,62,56,1031069696,8346394624
5.6,43331584,3.1,83247104,52,54,50,1030832128,8346394624
4.6,43331584,2.8,83492864,49,50,48,1031716864,8346394624
2.3,43331584,1.7,83496960,31,32,29,1031163904,8346394624
0.34,43331584,0.55,83595264,5.3,4,6.6,1031684096,8346394624
0.012,43331584,0.32,83496960,3.9,3.6,4.2,1031151616,8346394624
0.0056,43331584,0.35,83496960,3.5,2.8,4.2,1031110656,8346394624
0.0052,43331584,0.36,83496960,3.8,4,3.6,1031094272,8346394624
0.019,43331584,0.37,83496960,3.8,3.2,4.4,1030795264,8346394624
0.34,43331584,0.54,83628032,5,4.6,5.4,1030393856,8346394624
3.4,43913216,1.7,83591168,11,11,10,1031544832,8346394624
6,43913216,2.8,83615744,52,55,50,1034903552,8346394624
5.4,43913216,2.7,83566592,58,60,56,1036673024,8346394624
5.4,43913216,2.6,83587072,69,72,66,1043668992,8346394624
5.4,43913216,3.4,83578880,58,61,55,1045676032,8346394624
4.7,43913216,3.2,83726336,58,59,57,1042391040,8346394624
4.4,43913216,2.6,83689472,70,71,68,1047265280,8346394624
5,43913216,3,83718144,59,62,56,1054892032,8346394624
7.7,43913216,3.4,83824640,59,63,56,1059643392,8346394624
8.7,43913216,3.5,83853312,70,73,68,1070936064,8346394624
7.8,43917312,3.4,83808256,62,65,59,1075163136,8346394624
7.2,43917312,3.2,83832832,57,60,54,1080238080,8346394624
7.8,43917312,3.1,83877888,73,74,71,1091391488,8346394624
7.6,43978752,3.4,83902464,63,66,59,1093726208,8346394624
5.1,43999232,3.1,83951616,55,56,55,1092427776,8346394624
4.9,44060672,2.7,83968000,68,71,66,1106923520,8346394624
6.2,44081152,3,84189184,62,64,60,1108291584,8346394624
5.4,44085248,3,84213760,53,56,51,1114759168,8346394624
4.8,44126208,2.8,84119552,70,72,69,1124679680,8346394624
5.3,44130304,2.9,84148224,64,66,61,1132793856,8346394624
5.3,44146688,2.7,84230144,53,55,51,1132064768,8346394624
6.8,43139072,3.1,84258816,72,75,70,1060728832,8346394624
6.7,43139072,3.1,84348928,63,64,62,1046179840,8346394624
7.1,43266048,3,84373504,55,57,52,1039912960,8346394624
7.5,43266048,3.5,84475904,72,75,69,1047740416,8346394624
6.2,43294720,3.3,84500480,66,68,63,1048764416,8346394624
6.5,43298816,2.9,84320256,52,53,51,1051000832,8346394624
6.9,43442176,3.1,84348928,70,72,69,1053020160,8346394624
5.5,43442176,2.8,84680704,63,66,60,1049423872,8346394624
2.4,43442176,1.7,84684800,43,45,41,1049272320,8346394624
0.59,43442176,0.66,84815872,5.5,5,6,1049497600,8346394624
0.013,43442176,0.33,84750336,3.8,4,3.6,1048936448,8346394624
0.013,43442176,0.33,84865024,3.8,4.2,3.4,1049194496,8346394624
0.012,43442176,0.3,84750336,3.6,3.4,3.8,1049186304,8346394624
0.013,43442176,0.37,84750336,3.9,3.8,4,1048547328,8346394624
0.19,43442176,0.56,84750336,4.4,4.2,4.6,1048498176,8346394624
2.6,43462656,1.4,84779008,11,11,11,1049337856,8346394624
6.3,43462656,2.9,84803584,59,60,58,1056333824,8346394624
6,43462656,3.3,84897792,61,63,59,1077653504,8346394624
5.7,43462656,2.8,85045248,80,83,76,1094627328,8346394624
6,43462656,3.3,85024768,73,76,69,1103806464,8346394624
5.6,43462656,3.5,85049344,63,66,60,1116495872,8346394624
6.3,43466752,3.3,85168128,77,80,74,1135730688,8346394624
6.5,43769856,3,85053440,73,77,70,1152307200,8346394624
7.2,43925504,3.1,85155840,66,69,63,1167392768,8346394624
6.4,43999232,3.5,85180416,77,80,75,1185886208,8346394624
5.4,44040192,3.6,85303296,76,79,74,1102962688,8346394624
5.9,44044288,3.4,85454848,64,66,62,1098096640,8346394624
6.7,44048384,3.1,85434368,81,84,79,1108172800,8346394624
6.3,44048384,3.5,85458944,78,80,75,1102360576,8346394624
5.7,44056576,3,85413888,64,67,61,1096953856,8346394624
4.9,44056576,3.2,85442560,79,81,76,1105039360,8346394624
4.8,44060672,3.7,85532672,77,80,73,1125498880,8346394624
5.4,44060672,3.3,85557248,64,66,63,1099333632,8346394624
5.6,44064768,2.9,85581824,81,84,77,1099268096,8346394624
4.8,44064768,2.6,85602304,80,84,76,1113714688,8346394624
4.6,44064768,2.8,85491712,58,60,56,1118588928,8346394624
