NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
4000,0.025,301.3,2.8,13.96636364,63160878.55,7.212272727,190723909.8,35.30909091,37.31818182,33.43636364,828833233.5,8126898176
5333,0.01875,400,4,19.43809524,65453884.95,9.880952381,190833420.2,47.38095238,48.47619048,46.28571429,828979687.6,8126898176
4000,0.025,301.3,2.8,13.97727273,62604194.91,7.222727273,190721117.1,35.06818182,35.47272727,34.84545455,829042129.5,8126898176
5333,0.01875,400,3.8,18.06552609,65347405.91,9.069565217,190761583.3,43.96956522,45.34782609,42.53913043,829093620.9,8126898176
4000,0.025,301.3,2.8,13.83454545,63671389.09,7.21,190765428.4,35.12727273,35.78181818,34.47272727,828903796.4,8126898176
5333,0.01875,400,4.3,18.94545455,65585338.18,9.554545455,190793355.6,45.44545455,45.76363636,45.21818182,828826717.1,8126898176
4000,0.025,301.3,2.9,14.29545455,62191616,7.25,190790749.1,35.38636364,35.95454545,34.77272727,828985716.4,8126898176
5333,0.01875,400,3.9,18.11943043,65264951.65,9.021304348,190802009,44.27391304,44.63478261,43.82608696,828954713,8126898176
4000,0.025,301.3,2.9,14.46666667,62778806.86,7.5,190812355,36.57142857,37.71428571,35.57142857,828921173.3,8126898176
5333,0.01875,400,4.2,18.82727273,66061032.73,9.540909091,190826309.8,45.61363636,45.95454545,45.22727273,828926510.5,8126898176
4000,0.025,301.3,2.9,13.93636364,62721861.82,7.236363636,190825006.5,36.36363636,37.72727273,35.07272727,828829882.2,8126898176
5333,0.01875,400,3.9,17.26860417,64881152,8.80125,190836736,42.075,43.23333333,41.04166667,828905130.7,8126898176
4000,0.025,301.3,2.9,14.87142857,63709184,7.580952381,190862092.2,37.14285714,37.76190476,36.52380952,828843739.4,8126898176
5333,0.01875,400,3.8,18.79090909,66552366.55,9.499090909,190857774.5,45.52727273,45.68181818,45.28181818,828961512.7,8126898176
4000,0.025,301.3,2.8,13.81818182,63943214.55,7.245454545,190878440.7,35.22727273,36.45454545,34.2,828822434.9,8126898176
5333,0.01875,400,4.4,18.52756818,65641751.27,9.472727273,190884584.7,45.69090909,45.90909091,45.10909091,828956672,8126898176
4000,0.025,301.3,2.9,13.81363636,63986594.91,7.335454545,190905995.6,35.06363636,35.40909091,34.85454545,829071360,8126898176
5333,0.01875,400,3.8,18.59545455,66759028.36,9.431818182,190908602.2,45.27272727,45.29090909,45.31818182,829035426.9,8126898176
4000,0.025,301.3,2.8,13.46393636,63631360,7.168181818,190914746.2,34.69545455,34.34545455,35.09090909,829112320,8126898176
5333,0.01875,400,3.9,17.80465217,65957175.65,9.1,190936286.6,43.59565217,43.93043478,43.13043478,829141704.3,8126898176
4000,0.025,301.3,2.8,14.09090909,62813090.91,7.218181818,190818676.4,35.30454545,36.27272727,34.20909091,829008058.2,8126898176
5333,0.01875,400,3.9,18.69454545,64969821.09,9.512727273,190828730.2,45.59545455,45.25454545,45.89090909,828914036.4,8126898176
4000,0.025,301.3,3.6,13.93227273,62777157.82,7.386363636,190821282.9,40.87727273,41.80909091,40.03636364,829014016,8126898176
5333,0.01875,400,3.7,17.29637917,65821184,8.841666667,190843562.7,42.2875,42.59166667,41.81666667,828909568,8126898176
4000,0.025,301.3,2.9,13.78636364,63785332.36,7.219090909,190755560.7,34.93181818,35.68181818,34.36363636,828918690.9,8126898176
5333,0.01875,400,4.3,18.88181818,64987508.36,9.511363636,190741969.5,45.55,46.05454545,45.31818182,828970635.6,8126898176
4000,0.025,301.3,2.9,13.2959087,63703485.22,7.056521739,190734336,33.78695652,33.92173913,33.60869565,828870121.7,8126898176
5333,0.01875,400,3.9,17.8655,66130632.35,9.236956522,190755884.5,44.10869565,45.30434783,43.04347826,828886505.7,8126898176
4000,0.025,301.3,2.8,13.81909091,63417250.91,7.250909091,190762077.1,35.10909091,36.57272727,33.64545455,829663045.8,8126898176
5333,0.01875,400,4.6,19.48095238,65251620.57,9.928571429,190790314.7,47.71428571,48.33333333,46.80952381,828721834.7,8126898176
4000,0.025,301.2,2.9,13.28720435,63601085.22,6.982608696,190791323.8,33.70434783,35.33043478,31.73043478,828730145.4,8126898176
