Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
3.5,41254912,41254912,1.4,84209664,84209664,10,11,9.6,827846656,827846656,827846656,8126898176,8126898176,8126898176
3,41267200,41267200,1.4,84316160,84316160,9,8.6,9.4,829476864,829476864,829476864,8126898176,8126898176,8126898176
2.7,41172992,41172992,1.5,84574208,84574208,9.6,10,8.8,828096512,828096512,828096512,8126898176,8126898176,8126898176
3.3,41177088,41177088,1.2,84291584,84291584,9.9,12,7.6,827838464,827838464,827838464,8126898176,8126898176,8126898176
3.7,41181184,41181184,1.5,84320256,84320256,12,13,11,827838464,827838464,827838464,8126898176,8126898176,8126898176
3.6,41181184,41181184,1.6,84439040,84439040,10,11,9.8,827838464,827838464,827838464,8126898176,8126898176,8126898176
3.3,41181184,41181184,1.7,84467712,84467712,11,10,12,828096512,828096512,828096512,8126898176,8126898176,8126898176
3.1,41181184,41181184,1.7,84729856,84729856,9.1,10,8.2,827838464,827838464,827838464,8126898176,8126898176,8126898176
3.5,40910848,40910848,1.6,84623360,84623360,10,12,9,827813888,827813888,827813888,8126898176,8126898176,8126898176
3.3,40919040,40919040,1.7,84582400,84582400,9.4,10,8.8,828071936,828071936,828071936,8126898176,8126898176,8126898176
2.6,40919040,40919040,1.6,84807680,84807680,9.7,9.8,9.6,829112320,829112320,829112320,8126898176,8126898176,8126898176
2.6,41119744,41119744,1.5,84721664,84721664,9.5,9.6,9.4,828071936,828071936,828071936,8126898176,8126898176,8126898176
2.5,41119744,41119744,1.5,84742144,84742144,9.9,10,9.8,828071936,828071936,828071936,8126898176,8126898176,8126898176
2.8,41119744,41119744,1.4,84774912,84774912,8.2,7.6,8.8,827813888,827813888,827813888,8126898176,8126898176,8126898176
2.3,41119744,41119744,1.2,84787200,84787200,7.7,7.6,7.8,828067840,828067840,828067840,8126898176,8126898176,8126898176
1,41119744,41119744,0.7,84742144,84742144,3.7,3.6,3.8,827809792,827809792,827809792,8126898176,8126898176,8126898176
0.31,41119744,41119744,0.34,84742144,84742144,3.9,3.8,4,827809792,827809792,827809792,8126898176,8126898176,8126898176
0.007,41119744,41119744,0.23,84611072,84611072,3,3,3,827809792,827809792,827809792,8126898176,8126898176,8126898176
0.52,36229120,36229120,0.22,84611072,84611072,4.6,4.8,4.4,827809792,827809792,827809792,8126898176,8126898176,8126898176
0.52,36085760,36085760,0.24,84611072,84611072,3.7,3.4,4,827936768,827936768,827936768,8126898176,8126898176,8126898176
0.013,36085760,36085760,0.21,84611072,84611072,3.2,3.6,2.8,827920384,827920384,827920384,8126898176,8126898176,8126898176
0.79,36671488,36671488,0.41,84619264,84619264,6.1,6,6.2,828178432,828178432,828178432,8126898176,8126898176,8126898176
4,39309312,39309312,1.4,84819968,84819968,15,15,15,827920384,827920384,827920384,8126898176,8126898176,8126898176
5.9,40042496,40042496,2.5,85319680,85319680,16,16,16,827920384,827920384,827920384,8126898176,8126898176,8126898176
5.8,40841216,40841216,2.6,85499904,85499904,16,14,17,827920384,827920384,827920384,8126898176,8126898176,8126898176
6.6,40992768,40992768,2.2,85512192,85512192,16,16,16,828178432,828178432,828178432,8126898176,8126898176,8126898176
6.5,41086976,41086976,2.5,85569536,85569536,17,17,17,827916288,827916288,827916288,8126898176,8126898176,8126898176
5.6,41185280,41185280,3,85790720,85790720,16,16,16,827916288,827916288,827916288,8126898176,8126898176,8126898176
6.4,41320448,41320448,2.6,85708800,85708800,16,16,15,827916288,827916288,827916288,8126898176,8126898176,8126898176
5.9,41795584,41795584,2.3,85876736,85876736,15,16,14,828174336,828174336,828174336,8126898176,8126898176,8126898176
4.9,41820160,41820160,2.5,85921792,85921792,15,14,15,828174336,828174336,828174336,8126898176,8126898176,8126898176
5.8,41906176,41906176,2.5,86056960,86056960,14,16,13,828043264,828043264,828043264,8126898176,8126898176,8126898176
5.6,42061824,42061824,2.8,85995520,85995520,14,14,13,828555264,828555264,828555264,8126898176,8126898176,8126898176
4.9,42061824,42061824,2.5,86032384,86032384,14,13,14,828297216,828297216,828297216,8126898176,8126898176,8126898176
4.1,42074112,42074112,2.3,86134784,86134784,14,13,14,828280832,828280832,828280832,8126898176,8126898176,8126898176
4.7,42229760,42229760,2.5,86446080,86446080,15,16,14,828280832,828280832,828280832,8126898176,8126898176,8126898176
5.2,42254336,42254336,2.3,86228992,86228992,14,13,14,828022784,828022784,828022784,8126898176,8126898176,8126898176
4.5,42401792,42401792,2.5,86446080,86446080,15,14,15,828022784,828022784,828022784,8126898176,8126898176,8126898176
4.4,42778624,42778624,2.7,86364160,86364160,14,15,12,829050880,829050880,829050880,8126898176,8126898176,8126898176
4.6,42680320,42680320,2.6,86700032,86700032,15,15,14,829648896,829648896,829648896,8126898176,8126898176,8126898176
4.8,42995712,42995712,2.7,86618112,86618112,14,15,14,828018688,828018688,828018688,8126898176,8126898176,8126898176
3.5,43171840,43171840,2,86581248,86581248,9.3,9,9.6,828018688,828018688,828018688,8126898176,8126898176,8126898176
1,43044864,43044864,0.87,86585344,86585344,3.2,3.6,2.8,828276736,828276736,828276736,8126898176,8126898176,8126898176
0.056,43044864,43044864,0.33,86585344,86585344,3.6,4,3.2,828776448,828776448,828776448,8126898176,8126898176,8126898176
0.0061,43044864,43044864,0.22,86585344,86585344,3.5,3.4,3.6,828760064,828760064,828760064,8126898176,8126898176,8126898176
0.0068,43044864,43044864,0.22,86589440,86589440,3.5,3.2,3.8,827949056,827949056,827949056,8126898176,8126898176,8126898176
