NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
2000,0.05,154.3,2.4,8.280952381,44711936,3.980952381,177430137.9,21.71904762,22.77142857,20.47619048,827952371.8,8126898176
1333,0.075,108.2,2.2,5.247619048,44711936,2.846666667,178589696,15.64761905,16.14285714,14.91428571,827979678.5,8126898176
2000,0.05,154.3,2.4,7.576190476,44711936,4.119047619,180833718.9,21.19047619,21.27619048,21.07619048,827890541.7,8126898176
1333,0.075,108.2,2.3,5.62,44711936,3.025,181420646.4,16.495,16.61,16.33,827980185.6,8126898176
2000,0.05,154.3,2.4,7.86047619,44711936,3.996190476,181922864.8,21.53809524,22.00952381,21.01904762,827986700.2,8126898176
1333,0.075,108.2,2.3,5.52462381,44711936,2.867619048,181519701.3,15.96190476,16.32380952,15.83809524,827961539,8126898176
2000,0.05,154.3,2.5,7.2916,44711936,3.792173913,181568378.4,20.08695652,20.73913043,19.49565217,827976125.2,8126898176
1333,0.075,108.2,2.4,5.855,44711936,3.16,181929984,16.93,17.73,16.14,828033228.8,8126898176
2000,0.05,154.3,2.4,7.810952381,44711936,4.092857143,182042038.9,21.42380952,22.99047619,19.85714286,827960563.8,8126898176
1333,0.075,108.2,2.4,5.7485,44711936,3.113,181822259.2,16.575,17.53,15.74,828049408,8126898176
2000,0.05,154.3,2.5,8.2,44711936,4.095238095,181460992,21.87142857,22.55238095,21.0952381,828025514.7,8126898176
1333,0.075,108.2,2.4,5.933538095,44711936,2.91952381,181799204.6,16.47619048,16.53333333,16.27619048,828029610.7,8126898176
2000,0.05,154.3,2.5,7.332091304,44711936,3.826521739,181847796.9,20.14782609,20.70434783,19.63478261,828065346.8,8126898176
1333,0.075,108.2,2.4,5.895,44711936,3.103,181767168,16.82,17.16,16.63,827914444.8,8126898176
2000,0.05,154.3,2.4,8.128571429,44711936,4.19047619,181846016,21.85238095,21.76190476,21.8,827914727.6,8126898176
1333,0.075,108.2,2.3,5.549,44711936,3.101,182169804.8,16.685,17.59,15.63,827938611.2,8126898176
2000,0.05,154.3,2.4,7.747619048,44711936,4.123809524,182439545.9,21.56666667,22.88571429,20.28571429,827988065.5,8126898176
1333,0.075,108.2,2.4,5.470828571,44711936,2.995714286,182177987,16.15714286,16.98095238,15.47619048,827954712.4,8126898176
2000,0.05,154.3,2.4,7.736863636,44711936,4.049090909,182448128,21.13636364,21.42727273,20.70909091,828005655.3,8126898176
1333,0.075,108.2,2.3,5.5475,44711936,3.158,182926950.4,16.76,17.65,15.77,827975680,8126898176
2000,0.05,154.3,2.5,8.280952381,44711936,4.15047619,183446381.7,22.08571429,22.33333333,21.63809524,827912387,8126898176
1333,0.075,108.2,2.4,5.84,44711936,3.145,183777075.2,16.81,16.95,16.62,827944345.6,8126898176
2000,0.05,154.3,2.5,7.986818182,44711936,3.999090909,184900328.7,21.27727273,22.10909091,20.44545455,828100049.5,8126898176
1333,0.075,108.2,2.3,5.6065,44711936,3.069,185973555.2,16.475,17.16,15.78,828004761.6,8126898176
2000,0.05,154.3,2.5,7.775909091,44711936,4.014545455,186180142.5,21.23181818,21.03636364,21.33636364,828146594.9,8126898176
1333,0.075,108.2,2.4,5.905,44711936,3.19,186611712,17.235,17.46,16.61,827965030.4,8126898176
2000,0.05,154.3,2.4,7.845238095,44711936,4.071904762,187122639.2,21.56666667,22.79047619,20.39047619,827845680.8,8126898176
1333,0.075,108.2,2.4,6.065,44711936,3.15,187230003.2,17.295,17.43,17,827853209.6,8126898176
2000,0.05,154.3,2.5,7.700163636,44711936,3.940454545,187137303.3,20.87727273,21.52727273,20.5,827884078.5,8126898176
1333,0.075,108.2,2.4,5.443185714,44711936,3,187553694.5,16.2,17.31428571,15.03809524,827826761.1,8126898176
2000,0.05,154.3,2.4,7.704761905,44711936,4.136666667,187628202.7,21.32857143,21.74285714,20.91428571,827597580.2,8126898176
1333,0.075,108.2,2.4,5.719,44711936,3.1045,187819827.2,16.695,16.62,16.59,827820441.6,8126898176
2000,0.05,154.3,2.4,7.980952381,44711936,4.20952381,187075437.7,21.7,21.92380952,21.19047619,827524632.4,8126898176
1333,0.075,108.2,2.3,5.612,44711936,3.015,187105075.2,16.435,17.78,15.29,827705139.2,8126898176
2000,0.05,154.3,2.4,7.421231818,44711936,3.865454545,187382318.5,20.30909091,20.61818182,20.11818182,828094464,8126898176
1333,0.075,108.2,2.4,5.713,44711936,3.1685,188403097.6,16.78,17.83,15.71,827822899.2,8126898176
2000,0.05,154.3,2.4,7.823809524,44711936,4.157142857,191199719.6,21.35714286,21.46666667,21.05714286,827873572.6,8126898176
1333,0.075,108.2,2.2,5.3015,44711936,2.9905,192425369.6,15.815,16.23,15.67,828070297.6,8126898176
2000,0.05,154.3,2.4,8.114285714,44711936,3.978571429,193196032,21.57619048,22.14285714,20.85714286,827934427.4,8126898176
1333,0.075,108.2,2.3,5.257447619,44711936,2.89047619,193636644.6,15.70952381,16.15238095,15.21904762,828034877,8126898176
2000,0.05,154.3,2.4,7.305465217,44711936,3.743043478,194557863,19.84347826,20.34782609,19.51304348,828125540.2,8126898176
1333,0.075,108.2,2.3,5.8785,44711936,2.935,195684556.8,16.615,15.93,16.95,827961548.8,8126898176
2000,0.05,154.3,2.4,7.719047619,44711936,4.053809524,197031643.4,21.12380952,21.07619048,21.17142857,827593484.2,8126898176
1333,0.075,108.2,2.3,5.47,44711936,3.055,198087270.4,16.175,16.53,15.74,827734630.4,8126898176
2000,0.05,154.3,2.4,8.1,44711936,4.095238095,199380797,21.55238095,23.0952381,19.96190476,827920189,8126898176
1333,0.075,108.2,2.3,5.331714286,44711936,2.852857143,199793712.8,15.81904762,16.61904762,14.96190476,827588022.9,8126898176
