Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
0.0065,44711936,44711936,0.19,82714624,82714624,3.7,3.4,4,828256256,828256256,828256256,8126898176,8126898176,8126898176
0.81,44711936,44711936,0.47,82616320,82616320,6.5,6.8,6.2,827998208,827998208,827998208,8126898176,8126898176,8126898176
3.3,44711936,44711936,1.9,82673664,82673664,16,15,16,828223488,828223488,828223488,8126898176,8126898176,8126898176
5.9,44711936,44711936,3.2,82726912,82726912,18,19,16,829255680,829255680,829255680,8126898176,8126898176,8126898176
6,44711936,44711936,3.2,82919424,82919424,18,18,18,828219392,828219392,828219392,8126898176,8126898176,8126898176
6.3,44711936,44711936,3.2,82755584,82755584,17,19,15,828477440,828477440,828477440,8126898176,8126898176,8126898176
7.1,44711936,44711936,3,83132416,83132416,18,19,18,828219392,828219392,828219392,8126898176,8126898176,8126898176
6.2,44711936,44711936,2.7,83075072,83075072,16,16,16,829243392,829243392,829243392,8126898176,8126898176,8126898176
5.6,44711936,44711936,3,83181568,83181568,17,19,14,828203008,828203008,828203008,8126898176,8126898176,8126898176
5.3,44711936,44711936,3.3,83292160,83292160,15,15,16,828190720,828190720,828190720,8126898176,8126898176,8126898176
5.2,44711936,44711936,3.2,83574784,83574784,17,16,18,828190720,828190720,828190720,8126898176,8126898176,8126898176
5.8,44711936,44711936,2.5,83615744,83615744,16,19,14,828190720,828190720,828190720,8126898176,8126898176,8126898176
6.6,44711936,44711936,3,83730432,83730432,17,15,20,828190720,828190720,828190720,8126898176,8126898176,8126898176
6.1,44711936,44711936,3.5,83529728,83529728,17,17,17,828190720,828190720,828190720,8126898176,8126898176,8126898176
5.3,44711936,44711936,3.1,83615744,83615744,17,16,18,828190720,828190720,828190720,8126898176,8126898176,8126898176
5.4,44711936,44711936,3.1,83677184,83677184,15,15,16,828190720,828190720,828190720,8126898176,8126898176,8126898176
5.8,44711936,44711936,2.7,83894272,83894272,19,21,17,828186624,828186624,828186624,8126898176,8126898176,8126898176
6.9,44711936,44711936,3.7,83742720,83742720,19,23,16,828186624,828186624,828186624,8126898176,8126898176,8126898176
7.2,44711936,44711936,3.8,83955712,83955712,19,19,19,828186624,828186624,828186624,8126898176,8126898176,8126898176
