NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
1000,0.1,77.9,2.3,4.077609091,45761815.27,2.272272727,163494074.2,12.78636364,12.9,12.64545455,828312669.1,8126898176
500,0.2,39.5,2.4,2.155772727,47842955.64,1.436363636,163399866.2,8.677272727,8.8,8.518181818,827957806.5,8126898176
1000,0.1,77.9,2.3,4.31,46857216,2.465,163113164.8,13.61,13.96,13.15,828099993.6,8126898176
500,0.2,39.5,2.5,2.3455,48413081.6,1.555,162877440,9.095,9.44,8.71,828084224,8126898176
1000,0.1,77.9,2.3,4.113333333,46973708.19,2.322857143,163019629.7,13.04285714,13.38095238,12.7047619,827756349,8126898176
500,0.2,39.5,2.3,2.239719048,47900574.48,1.435238095,163437811.8,8.771428571,9.066666667,8.447619048,827969926.1,8126898176
1000,0.1,77.9,2.3,3.917581818,46284241.45,2.33,163576180.4,12.83636364,13.50909091,12.24545455,827656564.4,8126898176
500,0.2,39.5,2.7,3.005,40991744,1.591,163567206.4,9.885,9.85,9.92,827721113.6,8126898176
1000,0.1,77.9,2.5,4.66,44643532.8,2.559,163560243.2,14.315,14.59,13.69,827925504,8126898176
500,0.2,39.5,2.5,2.478947368,47768414.32,1.635789474,163406686.3,9.373684211,9.452631579,9.326315789,827576751.2,8126898176
1000,0.1,77.9,2.5,4.759590909,43395072,2.328636364,163114449.5,13.57272727,13.93636364,13.25454545,827674437.8,8126898176
500,0.2,39.5,2.5,2.3925,47901900.8,1.471,162662195.2,8.95,9.34,8.61,828228608,8126898176
1000,0.1,77.9,2.3,4.140952381,45637827.05,2.385238095,162510750.5,13.65714286,14.31428571,13.01904762,827954907.4,8126898176
500,0.2,39.5,2.3,2.3105,47909068.8,1.491,162688204.8,8.905,9.29,8.54,827746713.6,8126898176
1000,0.1,77.9,2.5,4.963333333,45905042.29,2.532380952,162743637.3,14.15238095,14.6,13.60952381,827793798.1,8126898176
500,0.2,39.5,2.5,2.665,43779891.2,1.475,162788556.8,9.315,9.78,8.86,828076441.6,8126898176
1000,0.1,77.9,2.5,4.666086957,43604413.22,2.269565217,162647707.8,13.23913043,13.39130435,13.13043478,827959385,8126898176
500,0.2,39.5,2.6,2.5,47447859.2,1.583,162403942.4,9.31,10.04,8.61,827995545.6,8126898176
1000,0.1,77.9,2.3,4.19047619,45256508.95,2.37952381,162346910.5,13.2952381,14.22857143,12.38095238,828051065.9,8126898176
500,0.2,39.5,2.5,2.2625,47545139.2,1.527,162401484.8,8.815,8.75,8.92,828288819.2,8126898176
1000,0.1,77.9,2.3,4.22872381,45168932.57,2.334761905,162477982.5,13.21428571,13.8952381,12.58095238,828067840,8126898176
500,0.2,39.5,2.5,2.199690476,47309580.19,1.417619048,162510165.3,8.728571429,8.942857143,8.523809524,828098852.6,8126898176
1000,0.1,77.9,2.5,4.687727273,44109265.45,2.307272727,162566702.5,13.53636364,13.73636364,13.19090909,828161675.6,8126898176
500,0.2,39.5,2.6,2.5365,47652454.4,1.5505,162350899.2,9.235,9.46,8.91,828150784,8126898176
1000,0.1,77.9,2.3,4.36047619,45081161.14,2.35047619,162194188.2,13.20952381,13.53333333,12.79047619,828589982.5,8126898176
500,0.2,39.5,2.3,2.281,47616000,1.49,162375680,8.845,9,8.63,828369305.6,8126898176
1000,0.1,77.9,2.3,4.138095238,45512216.38,2.32,162436827.4,13.08571429,12.77142857,13.01904762,828530688,8126898176
500,0.2,39.5,2.4,2.433780952,47419782.1,1.47047619,162524013.7,8.995238095,9,9.028571429,828347343.2,8126898176
1000,0.1,77.9,2.5,5.01,43320524.8,2.5005,162646016,14.3,14.75,13.8,828123545.6,8126898176
500,0.2,39.5,2.5,2.442105263,47232700.63,1.577368421,162575413.9,9.273684211,9.073684211,9.526315789,827973847.6,8126898176
