CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
17,21,1000,0.1,77.9,2.1,8.333333333,3.46047619,16.89047619,16.22857143,17.46666667,14.82857143,10.73333333,18.95238095,150127177.1,44454278.1,771168158.5,8346394624,771168158.5,8126898176
21,26,1000,0.1,77.9,2.2,9.123809524,3.411904762,19.12380952,18.59047619,19.62857143,17.09047619,18.74285714,15.54285714,151478272,44705304.38,771935085.7,8346394624,771935085.7,8126898176
25,31,1000,0.1,77.9,2.2,8.995238095,3.477619048,21.14285714,19.19047619,23.03809524,19.45238095,17.94285714,21.0952381,153007640.4,42911646.48,770700824.4,8346394624,770700824.4,8126898176
29,36,1000,0.1,77.9,2.1,8.157142857,3.423809524,22.32857143,20.71428571,24.08571429,21.80952381,26.45714286,17.3047619,154183972.6,44454668.19,771664554.7,8346394624,771664554.7,8126898176
33,41,1000,0.1,77.9,2.1,7.604761905,3.400952381,24.0952381,23.02857143,24.96190476,24.16666667,22.36190476,26.17142857,155218895.2,43984408.38,771505590.9,8346394624,771505590.9,8126898176
37,46,1000,0.1,77.9,2.1,8.01,3.5655,27.05,28.5,25.54,27.55,28.37,26.58,156475392,43302707.2,771413401.6,8346394624,771413401.6,8126898176
41,51,1000,0.1,77.9,2.2,7.742857143,3.486190476,27.85714286,29.66666667,26.02857143,29.05238095,24.26666667,33.66666667,157861205.3,42959043.05,770426977.5,8346394624,770426977.5,8126898176
45,56,1000,0.1,77.9,2.1,7.619047619,3.50952381,29.73809524,27.24761905,32.03809524,31.08571429,22.8,39.60952381,158932601.9,43455634.29,771313078.9,8346394624,771313078.9,8126898176
49,61,1000,0.1,77.9,2.3,8.861904762,3.428095238,32.14285714,29.71428571,34.57142857,33.76190476,24.68571429,42.9047619,160206067.8,43427937.52,771272899,8346394624,771272899,8126898176
53,66,1000,0.1,77.9,2.3,8.971428571,3.553333333,34.1952381,31.80952381,36.62380952,35.95714286,26,45.95238095,162816585.1,43853726.48,771163867.4,8346394624,771163867.4,8126898176
