CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
13,16,5333,0.01875,400,2.7,34.64545455,13.14090909,33.44090909,32.24545455,34.5,18.03636364,17.24545455,18.81818182,205765911.3,69659741.09,801189143.3,8346394624,801189143.3,8126898176
17,21,5333,0.01875,400,2.6,34.50909091,13.24272727,35.11818182,33.08181818,37.24545455,20.39545455,19.4,21.36363636,207963415.3,69443397.82,801051554.9,8346394624,801051554.9,8126898176
21,26,5333,0.01875,400,2.8,36,13.69047619,38.33333333,36.9047619,39.80952381,23.2,22.23809524,23.97142857,208291742.5,69484739.05,801309842.3,8346394624,801309842.3,8126898176
25,31,5333,0.01875,400,2.7,34.77272727,13.43181818,38.53181818,37.67272727,39.48181818,24.90454545,25.97272727,23.78181818,211006370.9,69518615.27,800755712,8346394624,800755712,8126898176
29,36,5333,0.01875,400,2.7,34.92272727,13.25863636,40.27272727,39.72727273,40.72727273,27.32727273,25.61818182,28.81818182,213806917.8,70092055.27,801586082.9,8346394624,801586082.9,8126898176
33,41,5333,0.01875,400,2.8,36.42857143,13.87142857,43.76190476,42.33333333,45.14285714,30.37619048,26.47619048,34.37142857,215043315.8,70904490.67,803519146.7,8346394624,803519146.7,8126898176
37,46,5333,0.01875,400,2.8,35.52272727,13.33181818,43.90454545,42.8,44.87272727,32.01818182,28.91818182,34.96363636,214245376,70621556.36,803406754.9,8346394624,803406754.9,8126898176
41,51,5333,0.01875,400,3,36.08636364,13.37272727,45.77272727,45.40909091,46.22727273,33.82272727,40.66363636,27.11818182,215621818.2,70618949.82,803700922.2,8346394624,803700922.2,8126898176
45,56,5333,0.01875,400,3.2,36.57142857,13.55238095,49.0952381,48.28571429,49.95238095,37.4047619,37.61904762,37.05714286,217824694.9,71697164.19,805434904.4,8346394624,805434904.4,8126898176
0,0,4000,0.025,301.3,2.2,27.45909091,10.30772727,22.6,22,23.2,9.240909091,9.672727273,8.781818182,216393728,66586251.64,793988375.3,8346394624,793988375.3,8126898176
5,6,4000,0.025,301.3,2.1,25.67272727,10.51090909,23.95,24.41818182,23.39090909,12.25909091,13.75454545,10.48181818,215684933.8,66893637.82,798162013.1,8346394624,798162013.1,8126898176
9,11,4000,0.025,301.3,2.2,25.12727273,10.25,25.30454545,24.32727273,26.19090909,14.25454545,15.49090909,13.09090909,217236200.7,66498746.18,797950324.4,8346394624,797950324.4,8126898176
13,16,4000,0.025,301.3,2.2,26.23809524,10.70952381,28.0952381,26.61904762,29.47619048,16.92380952,17.4,16.73333333,217891401.1,67517683.81,798588342.9,8346394624,798588342.9,8126898176
17,21,4000,0.025,301.3,2.2,25.83636364,10.445,29.01818182,28.2,29.9,18.80909091,17.03636364,20.57272727,219241378.9,66214818.91,797259962.2,8346394624,797259962.2,8126898176
21,26,4000,0.025,301.3,2.4,26.83181818,10.40409091,31.38636364,30.03636364,32.71818182,20.95909091,19.30909091,22.71818182,221268898.9,64708049.45,795485090.9,8346394624,795485090.9,8126898176
25,31,4000,0.025,301.3,2.3,25.87272727,10.35,32.43181818,31.37272727,33.25454545,23.22727273,23.38181818,23.15454545,221578891.6,65724974.55,797029841.5,8346394624,797029841.5,8126898176
29,36,4000,0.025,301.3,2.7,26.57142857,10.65714286,35.42857143,34.52380952,36.38095238,26.48571429,35.00952381,17.91428571,221622662.1,66807125.33,797986425.9,8346394624,797986425.9,8126898176
33,41,4000,0.025,301.3,2.4,26.30454545,10.40409091,36.17727273,36.60909091,35.65454545,27.94545455,25.62727273,30.2,222125707.6,66929384.73,798133527.3,8346394624,798133527.3,8126898176
37,46,4000,0.025,301.3,2.7,26.25454545,10.42818182,37.86363636,36.25454545,39.46363636,30.01818182,27.41818182,32.65454545,223085102.5,65780270.55,797777547.6,8346394624,797777547.6,8126898176
41,51,4000,0.025,301.3,2.4,25.96363636,10.13181818,39.28636364,38.74545455,39.87272727,32.23636364,27.94545455,36.35454545,224223976.7,66550877.09,799427304.7,8346394624,799427304.7,8126898176
45,56,4000,0.025,301.3,2.6,27.52380952,10.7,43.0952381,41.04761905,45.0952381,35.79047619,34.36190476,37.02857143,224764489.1,67244227.05,798857898.7,8346394624,798857898.7,8126898176
49,61,4000,0.025,301.3,2.5,25.99090909,10.37727273,42.8,42.80909091,42.83636364,36.75,43.12727273,30.29090909,225467857.5,66445684.36,798197015.3,8346394624,798197015.3,8126898176
53,66,4000,0.025,301.3,2.5,26.34545455,10.35681818,44.71363636,42.90909091,46.60909091,39.2,44.84545455,33.14545455,226491485.1,65064029.09,796463104,8346394624,796463104,8126898176
57,71,4000,0.025,301.3,2.6,26.35454545,10.10227273,46.38181818,43.23636364,49.42727273,41.16818182,35.65454545,46.58181818,227901067.6,65963845.82,798104855.3,8346394624,798104855.3,8126898176
61,76,4000,0.025,301.3,2.6,27.76190476,10.73333333,50.52380952,49.76190476,51.04761905,45.01904762,38.8,51.38095238,227300498.3,66726570.67,797766022.1,8346394624,797766022.1,8126898176
0,0,5333,0.01875,400,2.4,34.61363636,13.50454545,27.80454545,26.82727273,28.77272727,10.90909091,11.54545455,10.40909091,226027892.4,70184587.64,798967994.2,8346394624,798967994.2,8126898176
5,6,5333,0.01875,399.9,2.5,34.26363636,13.66590909,29.8,29.36363636,30.27272727,13.94545455,14.61818182,13.26363636,226442333.1,70377658.18,803056733.1,8346394624,803056733.1,8126898176
9,11,5333,0.01875,400,2.5,36.28571429,13.8047619,33.23809524,31.52380952,34.57142857,16.47142857,16.26666667,16.80952381,227849167.2,71210910.48,803672844.2,8346394624,803672844.2,8126898176
13,16,5333,0.01875,400,2.7,34.87727273,13.61,33.54090909,33.14545455,33.75454545,18.25,18.54545455,17.95454545,228750429.1,70282146.91,803276427.6,8346394624,803276427.6,8126898176
17,21,5333,0.01875,400,2.6,34.39545455,13.45545455,35.04545455,33.69090909,36.17272727,20.84090909,21.43636364,20.37272727,230365370.2,71522490.18,804385698.9,8346394624,804385698.9,8126898176
21,26,5333,0.01875,400,2.5,36.14285714,14.08571429,38.28571429,36.38095238,39.9047619,23.56190476,27.92380952,19.15238095,236636452.6,71157077.33,804774473.1,8346394624,804774473.1,8126898176
25,31,5333,0.01875,400,2.8,35.11818182,13.75454545,38.57272727,37.24545455,40.08181818,25.04545455,26.05454545,24.21818182,239952616.7,70961710.55,804305454.5,8346394624,804305454.5,8126898176
29,36,5333,0.01875,400,2.9,34.73636364,13.54909091,40.04545455,39.86363636,40.39090909,27.21363636,23.95454545,30.43636364,244950109.1,71829131.64,804598504.7,8346394624,804598504.7,8126898176
33,41,5333,0.01875,400,2.8,36.23809524,14.00952381,43.66666667,42.76190476,44.14285714,30.64761905,25.72380952,35.23809524,249983171,71547367.62,804475465.1,8346394624,804475465.1,8126898176
37,46,5333,0.01875,400,2.9,35.55454545,13.55454545,43.71818182,43.82727273,43.79090909,31.64545455,33.5,30.02727273,254911767.3,71426606.55,804747450.2,8346394624,804747450.2,8126898176
41,51,5333,0.01875,400,3,35.27727273,13.46909091,45.46818182,44.70909091,46.45454545,33.95909091,36.76363636,31.29090909,256401035.6,71243589.82,804502993.5,8346394624,804502993.5,8126898176
45,56,5333,0.01875,400,3.2,35.12727273,13.52727273,47.1,46.34545455,47.76363636,35.89090909,35.76363636,36.24545455,256874123.6,72587077.82,806246586.2,8346394624,806246586.2,8126898176
0,0,4000,0.025,301.3,2.2,27.24545455,10.54545455,22.30909091,21.36363636,23.25454545,9.159090909,9.327272727,9.027272727,257550708.4,68158557.09,798982702.5,8346394624,798982702.5,8126898176
5,6,4000,0.025,301.3,2.1,25.07272727,10.42272727,23.47272727,23.05454545,23.88181818,11.95,13.16363636,10.8,257145390.5,69416215.27,802807994.2,8346394624,802807994.2,8126898176
9,11,4000,0.025,301.3,2.1,25.1,10.60227273,25.23181818,24.47272727,26.17272727,14.44090909,13.30909091,15.45454545,257160843.6,69682827.64,803334144,8346394624,803334144,8126898176
13,16,4000,0.025,301.3,2.2,26.85714286,10.91904762,28.28571429,27.57142857,29.14285714,17.18571429,19.53333333,14.6952381,258201892.6,68382915.05,801733485.7,8346394624,801733485.7,8126898176
17,21,4000,0.025,301.3,2.2,25.21363636,10.51454545,28.79545455,28.58181818,28.78181818,18.89090909,18.63636364,19.14545455,259723822.5,70299275.64,804217390.5,8346394624,804217390.5,8126898176
21,26,4000,0.025,301.3,2.2,25.77272727,10.33772727,30.71363636,31.2,30.23636364,20.94090909,18.43636364,23.69090909,261409698.9,68734789.82,803308450.9,8346394624,803308450.9,8126898176
25,31,4000,0.025,301.3,2.3,25.62727273,10.37227273,32.34090909,31.81818182,32.72727273,23.38636364,23.83636364,22.89090909,265010641.5,68977570.91,803925085.1,8346394624,803925085.1,8126898176
