CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
57,71,1333,0.075,108.2,2.2,9.933333333,4.333333333,36.76190476,38.51428571,35.04761905,39.04761905,38.0952381,39.99047619,163545868.2,46368865.52,772315233.5,8346394624,772315233.5,8126898176
61,76,1333,0.075,108.2,2.2,10.00238095,4.342857143,38.71428571,35.0952381,42.27619048,41.5047619,32.11428571,50.85714286,164333665.5,47090541.71,772968057.9,8346394624,772968057.9,8126898176
0,0,2000,0.05,154.3,2,14.71428571,5.795238095,13.45714286,13.85714286,13.34285714,6.385714286,6.00952381,6.761904762,164523251.8,47646622.48,769977587.8,8346394624,769977587.8,8126898176
5,6,2000,0.05,154.3,2,13.60952381,5.721428571,15.22857143,15.28571429,15.26666667,9.29047619,9.123809524,9.428571429,163427279.2,48732257.52,774776929.5,8346394624,774776929.5,8126898176
9,11,2000,0.05,154.3,2,13.12380952,5.712857143,16.97619048,17.05714286,16.54285714,11.74285714,10.63809524,12.72380952,162119094.9,48994011.43,774865871.2,8346394624,774865871.2,8126898176
13,16,2000,0.05,154.3,2,13.32857143,5.848571429,18.95238095,20.5047619,17.25714286,14.16190476,15.24761905,12.94285714,162115389,49654052.57,775888505.9,8346394624,775888505.9,8126898176
17,21,2000,0.05,154.3,2,13.43809524,5.823809524,20.8952381,21.67619048,19.83809524,16.33809524,16.15238095,16.48571429,162084181.3,49803068.95,777964397.7,8346394624,777964397.7,8126898176
21,26,2000,0.05,154.3,2,13.23333333,5.71047619,22.54761905,25.15238095,19.9047619,18.9,18.59047619,19.16190476,162128262.1,49415314.29,777583079.6,8346394624,777583079.6,8126898176
25,31,2000,0.05,154.3,2,13.4047619,5.904761905,24.48571429,26.42857143,22.34285714,21.17619048,13.01904762,29.33333333,161635571.8,49711006.48,778119850.7,8346394624,778119850.7,8126898176
29,36,2000,0.05,154.3,2,13.72857143,5.818095238,26.33333333,24.75238095,28,23.56666667,27.15238095,19.88571429,161684918.9,49414534.1,777938846.5,8346394624,777938846.5,8126898176
33,41,2000,0.05,154.3,2.1,13.59047619,5.923809524,28.3,33,23.38095238,25.62857143,24,27.2952381,161735241.1,49046479.24,777645104.8,8346394624,777645104.8,8126898176
37,46,2000,0.05,154.3,2.1,13.97619048,5.789047619,30.20952381,27.28571429,33.08571429,28.19047619,30.77142857,25.47619048,161831399.6,47503652.57,775697164.2,8346394624,775697164.2,8126898176
41,51,2000,0.05,154.3,2.1,13.85714286,5.814285714,32.04761905,34.15238095,30.04761905,30.47619048,25.53333333,35.51428571,162360368.8,48374735.24,776592822.9,8346394624,776592822.9,8126898176
45,56,2000,0.05,154.3,2.1,13.74761905,5.778095238,33.80952381,34.28571429,33.38095238,32.81904762,35.08571429,30.34285714,161922681.9,48653848.38,777725854.5,8346394624,777725854.5,8126898176
49,61,2000,0.05,154.3,2.1,13.96190476,5.961904762,35.71428571,36.77142857,35,35.18571429,22.41904762,47.66666667,162163175.6,49215195.43,778312167.6,8346394624,778312167.6,8126898176
53,66,2000,0.05,154.3,2.2,14.23333333,5.812380952,37.80952381,37.00952381,38.41904762,37.57142857,40.08571429,35.23809524,161836080.8,48588897.52,777534512.8,8346394624,777534512.8,8126898176
57,71,2000,0.05,154.3,2.2,14.30952381,5.895238095,39.52380952,39.57142857,39.62857143,40.23809524,48.52380952,31.72380952,162230857.1,48305688.38,776811471.2,8346394624,776811471.2,8126898176
61,76,2000,0.05,154.3,2.2,14.21428571,5.957142857,41.57142857,44.23809524,38.66666667,42.58095238,35.1047619,49.81904762,162262649.9,48657944.38,777349022.5,8346394624,777349022.5,8126898176
0,0,1333,0.075,108.2,2,11.41052632,4.421052632,10.86842105,11.02105263,10.88421053,5.473684211,5.168421053,5.778947368,162744212.2,45374194.53,770694736.8,8346394624,770694736.8,8126898176
5,6,1333,0.075,108.2,2,10.38095238,4.288095238,12.69047619,12.73333333,12.63809524,8.595238095,8.295238095,8.942857143,162566729.1,46523538.29,774681551.2,8346394624,774681551.2,8126898176
9,11,1333,0.075,108.2,2,10.06952381,4.473809524,14.45714286,15.43809524,13.44761905,12.03333333,9.923809524,14.14285714,162810148.6,44390302.48,773041981,8346394624,773041981,8126898176
13,16,1333,0.075,108.2,2,10,4.6795,16.65,18.08,15.45,13.6,11.83,15.27,163062169.6,46619238.4,775553638.4,8346394624,775553638.4,8126898176
17,21,1333,0.075,108.2,2.1,10.975,4.605,19.15,19.45,18.86,15.73,18.74,13.1,163193856,45339852.8,773463244.8,8346394624,773463244.8,8126898176
21,26,1333,0.075,108.2,2.1,9.826190476,4.419047619,19.91428571,19.84761905,19.9047619,17.89047619,21.40952381,14.39047619,163185030.1,45914794.67,774401267.8,8346394624,774401267.8,8126898176
25,31,1333,0.075,108.2,2,9.499047619,4.346190476,21.58571429,21.95238095,21.08571429,20.01428571,13.80952381,26.2952381,162955459,45410206.48,773887707.4,8346394624,773887707.4,8126898176
29,36,1333,0.075,108.2,2,9.395714286,4.267142857,24.92380952,21.47619048,28.4952381,22.26190476,23.61904762,20.94285714,162933613.7,45694000.76,774185545.1,8346394624,774185545.1,8126898176
33,41,1333,0.075,108.2,2.1,9.742857143,4.374761905,25.22380952,23.95238095,26.80952381,24.80952381,19.61904762,29.88571429,162871393.5,45861741.71,775414930.3,8346394624,775414930.3,8126898176
37,46,1333,0.075,108.2,2.2,10.87142857,4.37952381,27.85714286,26.00952381,29.6,27.28095238,27.47619048,26.98095238,162894019,46004516.57,775441846.9,8346394624,775441846.9,8126898176
41,51,1333,0.075,108.2,2.2,10.87714286,4.394285714,29.71428571,29.72380952,29.71428571,29.54285714,20.72380952,38.38095238,163117738.7,46029482.67,775162733.7,8346394624,775162733.7,8126898176
45,56,1333,0.075,108.2,2.2,11.415,4.55,33.05,33.7,32.15,33.05,22.73,43.04,163317145.6,46208614.4,775356211.2,8346394624,775356211.2,8126898176
49,61,1333,0.075,108.2,2.1,10.2047619,4.598095238,34.76190476,39.33333333,30.1047619,36.61904762,23.95238095,49.14285714,163347114.7,46356187.43,776094476.2,8346394624,776094476.2,8126898176
53,66,1333,0.075,108.2,2.3,11.16952381,4.333333333,35.33333333,35.85714286,34.85714286,36.71428571,41.47619048,31.78095238,163431960.4,46215558.1,776306297.9,8346394624,776306297.9,8126898176
57,71,1333,0.075,108.2,2.2,10.04952381,4.368095238,36.93333333,33.99047619,39.52380952,38.86190476,29.79047619,47.99047619,163588388.6,47102829.71,777663244.2,8346394624,777663244.2,8126898176
61,76,1333,0.075,108.2,2.2,9.947619048,4.480952381,38.53333333,37.54285714,39.28571429,41.47619048,36.75238095,46.31428571,164327424,47607027.81,778534717,8346394624,778534717,8126898176
0,0,2000,0.05,154.3,1.9,13.595,6.215,13.105,13.27,12.84,6.86,6.46,7.26,168715468.8,49520230.4,776452915.2,8346394624,776452915.2,8126898176
5,6,2000,0.05,154.3,1.9,13.26666667,5.821428571,15.03809524,14.94285714,15.13333333,9.561904762,9.847619048,9.238095238,173827218.3,50119241.14,780105630.5,8346394624,780105630.5,8126898176
9,11,2000,0.05,154.3,1.9,13.84,5.975,17.5,15.64,19.35,12.165,14.23,10.29,174364262.4,49409638.4,780019097.6,8346394624,780019097.6,8126898176
13,16,2000,0.05,154.3,2,13.41428571,5.684761905,18.85238095,19.00952381,18.6,13.93333333,11.80952381,16.18095238,175304118.9,50155520,780265959.6,8346394624,780265959.6,8126898176
17,21,2000,0.05,154.3,2,13.54285714,5.862857143,20.81904762,20.47619048,21.16190476,16.4952381,17.19047619,15.96190476,175895893.3,49925948.95,780498846.5,8346394624,780498846.5,8126898176
21,26,2000,0.05,154.3,2,13.62857143,5.901428571,22.68095238,22.99047619,22.33333333,18.76666667,18.81904762,18.81904762,176163108.6,50206622.48,781044394.7,8346394624,781044394.7,8126898176
25,31,2000,0.05,154.3,2,13.98,6.045,25.5,24.3,26.65,21.85,23.59,20.37,176199065.6,49872281.6,780905472,8346394624,780905472,8126898176
29,36,2000,0.05,154.3,2.1,13.66666667,5.733333333,26.43809524,27.15238095,25.81904762,23.52380952,26.14285714,20.84761905,176929645.7,49274294.86,780247820.2,8346394624,780247820.2,8126898176
